Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,biocity,430.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,biocity,438.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,cinemax,447.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,Jyske Opera,431.650000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,Jyske Opera,431.775000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,Jyske Opera,443.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,Musikhuset,167.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,Musikhuset,158.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,Musikhuset,167.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,Musikhuset,158.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,Musikhuset,438.125000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,Musikhuset,438.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,Musikhuset,460.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,Musikhuset,450.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,Musikhuset,460.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,Musikhuset,450.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,Musikhuset,460.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,Musikhuset,450.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,Musikhuset,460.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,Musikhuset,450.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,Musikhuset,460.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
21,Musikhuset,450.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
22,TeaterAarhus,443.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
23,TeaterAarhus,443.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
24,TeaterAarhus,443.200000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
25,TeaterAarhus,443.250000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
26,TeaterAarhus,443.600000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,TeaterAarhus,444.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,TeaterAarhus,444.200000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
29,TeaterAarhus,444.250000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
30,TeaterAarhus,444.400000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
31,TeaterAarhus,444.675000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
