Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,447.012500,-,0.000000,DTCS,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,0.0W,,,,,
1,,447.037500,,0.600000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,,447.062500,-,5.000000,DTCS,88.5,88.5,025,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
3,,447.087500,,0.600000,DTCS,88.5,88.5,031,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,,447.112500,,0.600000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,,447.137500,,0.600000,DTCS,88.5,88.5,036,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,,447.162500,,0.600000,DTCS,88.5,88.5,043,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,,447.187500,,0.600000,DTCS,88.5,88.5,047,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,,447.212500,,0.600000,DTCS,88.5,88.5,051,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,,447.237500,,0.600000,DTCS,88.5,88.5,053,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,,447.262500,,0.600000,DTCS,88.5,88.5,054,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,,447.287500,,0.600000,DTCS,88.5,88.5,065,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,,447.312500,,0.600000,DTCS,88.5,88.5,071,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,,447.337500,,0.600000,DTCS,88.5,88.5,072,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,,447.362500,,0.600000,DTCS,88.5,88.5,073,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,,447.387500,-,5.000000,DTCS,88.5,88.5,074,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
16,,447.412500,,0.600000,DTCS,88.5,88.5,114,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,,447.437500,,0.600000,DTCS,88.5,88.5,115,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,,447.462500,,0.600000,DTCS,88.5,88.5,116,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,,447.487500,,0.600000,DTCS,88.5,88.5,122,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,,447.512500,,0.600000,DTCS,88.5,88.5,125,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
21,,447.537500,,0.600000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
22,,447.562500,,0.600000,DTCS,88.5,88.5,132,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
23,,447.587500,,0.600000,DTCS,88.5,88.5,134,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
24,,447.612500,,0.600000,DTCS,88.5,88.5,143,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
25,,447.637500,,0.600000,DTCS,88.5,88.5,145,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
26,,447.662500,,0.600000,DTCS,88.5,88.5,152,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,,447.687500,,0.600000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,,447.712500,,0.600000,DTCS,88.5,88.5,156,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
29,,447.737500,,0.600000,DTCS,88.5,88.5,162,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
30,,447.762500,,0.600000,DTCS,88.5,88.5,165,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
31,,447.787500,,0.600000,DTCS,88.5,88.5,172,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
32,,447.812500,,0.600000,DTCS,88.5,88.5,205,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
33,,447.837500,,0.600000,DTCS,88.5,88.5,212,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,,447.862500,,0.600000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,,447.887500,,0.600000,DTCS,88.5,88.5,225,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,,447.912500,,0.600000,DTCS,88.5,88.5,226,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,,447.937500,,0.600000,DTCS,88.5,88.5,243,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
38,,447.962500,,0.600000,DTCS,88.5,88.5,244,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
39,,447.987500,,0.600000,DTCS,88.5,88.5,245,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
